date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,7.80437044745057
1960-04-01,2018-10-13,2018-10-13,7.90842872008324
1960-07-01,2018-10-13,2018-10-13,8.01248699271592
1960-10-01,2018-10-13,2018-10-13,8.1165452653486
1961-01-01,2018-10-13,2018-10-13,8.1165452653486
1961-04-01,2018-10-13,2018-10-13,8.22060353798127
1961-07-01,2018-10-13,2018-10-13,8.1165452653486
1961-10-01,2018-10-13,2018-10-13,8.1165452653486
1962-01-01,2018-10-13,2018-10-13,8.1165452653486
1962-04-01,2018-10-13,2018-10-13,8.1165452653486
1962-07-01,2018-10-13,2018-10-13,8.1165452653486
1962-10-01,2018-10-13,2018-10-13,8.1165452653486
1963-01-01,2018-10-13,2018-10-13,8.1165452653486
1963-04-01,2018-10-13,2018-10-13,8.1165452653486
1963-07-01,2018-10-13,2018-10-13,8.22060353798127
1963-10-01,2018-10-13,2018-10-13,8.22060353798127
1964-01-01,2018-10-13,2018-10-13,8.32466181061394
1964-04-01,2018-10-13,2018-10-13,8.32466181061394
1964-07-01,2018-10-13,2018-10-13,8.42872008324662
1964-10-01,2018-10-13,2018-10-13,8.53277835587929
1965-01-01,2018-10-13,2018-10-13,8.53277835587929
1965-04-01,2018-10-13,2018-10-13,8.63683662851197
1965-07-01,2018-10-13,2018-10-13,8.74089490114464
1965-10-01,2018-10-13,2018-10-13,8.84495317377731
1966-01-01,2018-10-13,2018-10-13,8.94901144640999
1966-04-01,2018-10-13,2018-10-13,8.94901144640999
1966-07-01,2018-10-13,2018-10-13,8.94901144640999
1966-10-01,2018-10-13,2018-10-13,9.05306971904266
1967-01-01,2018-10-13,2018-10-13,9.15712799167534
1967-04-01,2018-10-13,2018-10-13,9.26118626430801
1967-07-01,2018-10-13,2018-10-13,9.36524453694068
1967-10-01,2018-10-13,2018-10-13,9.36524453694068
1968-01-01,2018-10-13,2018-10-13,9.46930280957336
1968-04-01,2018-10-13,2018-10-13,9.46930280957336
1968-07-01,2018-10-13,2018-10-13,9.57336108220604
1968-10-01,2018-10-13,2018-10-13,9.57336108220604
1969-01-01,2018-10-13,2018-10-13,9.78147762747138
1969-04-01,2018-10-13,2018-10-13,9.78147762747138
