date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-02-01,2018-10-13,2018-10-13,.
1955-03-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-05-01,2018-10-13,2018-10-13,.
1955-06-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-08-01,2018-10-13,2018-10-13,.
1955-09-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1955-11-01,2018-10-13,2018-10-13,.
1955-12-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-02-01,2018-10-13,2018-10-13,.
1956-03-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-05-01,2018-10-13,2018-10-13,.
1956-06-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-08-01,2018-10-13,2018-10-13,.
1956-09-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1956-11-01,2018-10-13,2018-10-13,.
1956-12-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-02-01,2018-10-13,2018-10-13,.
1957-03-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-05-01,2018-10-13,2018-10-13,.
1957-06-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-08-01,2018-10-13,2018-10-13,.
1957-09-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1957-11-01,2018-10-13,2018-10-13,.
1957-12-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-02-01,2018-10-13,2018-10-13,.
1958-03-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-05-01,2018-10-13,2018-10-13,.
1958-06-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-08-01,2018-10-13,2018-10-13,.
1958-09-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1958-11-01,2018-10-13,2018-10-13,.
1958-12-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-02-01,2018-10-13,2018-10-13,.
1959-03-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-05-01,2018-10-13,2018-10-13,.
1959-06-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-08-01,2018-10-13,2018-10-13,.
1959-09-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1959-11-01,2018-10-13,2018-10-13,.
1959-12-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,13.3085289066972
1960-02-01,2018-10-13,2018-10-13,13.3085289066972
1960-03-01,2018-10-13,2018-10-13,13.2226674298798
1960-04-01,2018-10-13,2018-10-13,13.3085289066972
1960-05-01,2018-10-13,2018-10-13,13.3085289066972
1960-06-01,2018-10-13,2018-10-13,13.3085289066972
1960-07-01,2018-10-13,2018-10-13,13.3085289066972
1960-08-01,2018-10-13,2018-10-13,13.3085289066972
1960-09-01,2018-10-13,2018-10-13,13.3085289066972
1960-10-01,2018-10-13,2018-10-13,13.480251860332
1960-11-01,2018-10-13,2018-10-13,13.480251860332
1960-12-01,2018-10-13,2018-10-13,13.480251860332
1961-01-01,2018-10-13,2018-10-13,13.480251860332
1961-02-01,2018-10-13,2018-10-13,13.480251860332
1961-03-01,2018-10-13,2018-10-13,13.480251860332
1961-04-01,2018-10-13,2018-10-13,13.480251860332
1961-05-01,2018-10-13,2018-10-13,13.480251860332
1961-06-01,2018-10-13,2018-10-13,13.480251860332
1961-07-01,2018-10-13,2018-10-13,13.480251860332
1961-08-01,2018-10-13,2018-10-13,13.480251860332
1961-09-01,2018-10-13,2018-10-13,13.480251860332
1961-10-01,2018-10-13,2018-10-13,13.480251860332
1961-11-01,2018-10-13,2018-10-13,13.480251860332
1961-12-01,2018-10-13,2018-10-13,13.480251860332
1962-01-01,2018-10-13,2018-10-13,13.480251860332
1962-02-01,2018-10-13,2018-10-13,13.480251860332
1962-03-01,2018-10-13,2018-10-13,13.480251860332
1962-04-01,2018-10-13,2018-10-13,13.5661133371494
1962-05-01,2018-10-13,2018-10-13,13.5661133371494
1962-06-01,2018-10-13,2018-10-13,13.6519748139668
1962-07-01,2018-10-13,2018-10-13,13.6519748139668
1962-08-01,2018-10-13,2018-10-13,13.7378362907842
1962-09-01,2018-10-13,2018-10-13,13.6519748139668
1962-10-01,2018-10-13,2018-10-13,13.7378362907842
1962-11-01,2018-10-13,2018-10-13,13.7378362907842
1962-12-01,2018-10-13,2018-10-13,13.7378362907842
1963-01-01,2018-10-13,2018-10-13,13.7378362907842
1963-02-01,2018-10-13,2018-10-13,13.7378362907842
1963-03-01,2018-10-13,2018-10-13,13.7378362907842
1963-04-01,2018-10-13,2018-10-13,13.7378362907842
1963-05-01,2018-10-13,2018-10-13,13.7378362907842
1963-06-01,2018-10-13,2018-10-13,13.7378362907842
1963-07-01,2018-10-13,2018-10-13,13.909559244419
1963-08-01,2018-10-13,2018-10-13,13.9954207212364
1963-09-01,2018-10-13,2018-10-13,13.909559244419
1963-10-01,2018-10-13,2018-10-13,13.909559244419
1963-11-01,2018-10-13,2018-10-13,13.9954207212364
1963-12-01,2018-10-13,2018-10-13,13.9954207212364
1964-01-01,2018-10-13,2018-10-13,13.9954207212364
1964-02-01,2018-10-13,2018-10-13,13.9954207212364
1964-03-01,2018-10-13,2018-10-13,13.9954207212364
1964-04-01,2018-10-13,2018-10-13,14.0812821980538
1964-05-01,2018-10-13,2018-10-13,14.0812821980538
1964-06-01,2018-10-13,2018-10-13,14.0812821980538
1964-07-01,2018-10-13,2018-10-13,14.1671436748712
1964-08-01,2018-10-13,2018-10-13,14.1671436748712
1964-09-01,2018-10-13,2018-10-13,14.1671436748712
1964-10-01,2018-10-13,2018-10-13,14.1671436748712
1964-11-01,2018-10-13,2018-10-13,14.1671436748712
1964-12-01,2018-10-13,2018-10-13,14.2530051516886
1965-01-01,2018-10-13,2018-10-13,14.2530051516886
1965-02-01,2018-10-13,2018-10-13,14.2530051516886
1965-03-01,2018-10-13,2018-10-13,14.2530051516886
1965-04-01,2018-10-13,2018-10-13,14.338866628506
1965-05-01,2018-10-13,2018-10-13,14.338866628506
1965-06-01,2018-10-13,2018-10-13,14.5105895821408
1965-07-01,2018-10-13,2018-10-13,14.5105895821408
1965-08-01,2018-10-13,2018-10-13,14.5105895821408
1965-09-01,2018-10-13,2018-10-13,14.5105895821408
1965-10-01,2018-10-13,2018-10-13,14.5105895821408
1965-11-01,2018-10-13,2018-10-13,14.5964510589582
1965-12-01,2018-10-13,2018-10-13,14.6823125357756
1966-01-01,2018-10-13,2018-10-13,14.6823125357756
1966-02-01,2018-10-13,2018-10-13,14.768174012593
1966-03-01,2018-10-13,2018-10-13,14.8540354894104
1966-04-01,2018-10-13,2018-10-13,14.9398969662278
1966-05-01,2018-10-13,2018-10-13,14.9398969662278
1966-06-01,2018-10-13,2018-10-13,15.0257584430452
1966-07-01,2018-10-13,2018-10-13,15.0257584430452
1966-08-01,2018-10-13,2018-10-13,15.1116199198626
1966-09-01,2018-10-13,2018-10-13,15.1116199198626
1966-10-01,2018-10-13,2018-10-13,15.1116199198626
1966-11-01,2018-10-13,2018-10-13,15.1116199198626
1966-12-01,2018-10-13,2018-10-13,15.19748139668
1967-01-01,2018-10-13,2018-10-13,15.19748139668
1967-02-01,2018-10-13,2018-10-13,15.19748139668
1967-03-01,2018-10-13,2018-10-13,15.2833428734974
1967-04-01,2018-10-13,2018-10-13,15.3692043503148
1967-05-01,2018-10-13,2018-10-13,15.4550658271322
1967-06-01,2018-10-13,2018-10-13,15.5409273039496
1967-07-01,2018-10-13,2018-10-13,15.626788780767
1967-08-01,2018-10-13,2018-10-13,15.7126502575844
1967-09-01,2018-10-13,2018-10-13,15.7126502575844
1967-10-01,2018-10-13,2018-10-13,15.7126502575844
1967-11-01,2018-10-13,2018-10-13,15.7126502575844
1967-12-01,2018-10-13,2018-10-13,15.7985117344018
1968-01-01,2018-10-13,2018-10-13,15.8843732112192
1968-02-01,2018-10-13,2018-10-13,15.8843732112192
