date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,10.3600473902618
1960-04-01,2018-10-13,2018-10-13,10.3653480028943
1960-07-01,2018-10-13,2018-10-13,10.4607590302797
1960-10-01,2018-10-13,2018-10-13,10.5482191387162
1961-01-01,2018-10-13,2018-10-13,10.5853234271439
1961-04-01,2018-10-13,2018-10-13,10.5508694450325
1961-07-01,2018-10-13,2018-10-13,10.667482922948
1961-10-01,2018-10-13,2018-10-13,10.932513554574
1962-01-01,2018-10-13,2018-10-13,11.097733974196
1962-04-01,2018-10-13,2018-10-13,11.2066826151072
1962-07-01,2018-10-13,2018-10-13,11.3006038572721
1962-10-01,2018-10-13,2018-10-13,11.4095524981833
1963-01-01,2018-10-13,2018-10-13,11.6086655315727
1963-04-01,2018-10-13,2018-10-13,11.7326415712303
1963-07-01,2018-10-13,2018-10-13,11.901699807127
1963-10-01,2018-10-13,2018-10-13,12.0219189970979
1964-01-01,2018-10-13,2018-10-13,12.104569690203
1964-04-01,2018-10-13,2018-10-13,12.1421381870689
1964-07-01,2018-10-13,2018-10-13,12.2285457298606
1964-10-01,2018-10-13,2018-10-13,12.307439573279
1965-01-01,2018-10-13,2018-10-13,12.3938471160706
1965-04-01,2018-10-13,2018-10-13,12.5328505544746
1965-07-01,2018-10-13,2018-10-13,12.5553916525942
1965-10-01,2018-10-13,2018-10-13,12.6192580972662
1966-01-01,2018-10-13,2018-10-13,12.7244498884908
1966-04-01,2018-10-13,2018-10-13,12.8183711306557
1966-07-01,2018-10-13,2018-10-13,12.8897512747009
1966-10-01,2018-10-13,2018-10-13,12.972401967806
1967-01-01,2018-10-13,2018-10-13,13.0813506087172
1967-04-01,2018-10-13,2018-10-13,13.1339465043295
1967-07-01,2018-10-13,2018-10-13,13.2203540471211
1967-10-01,2018-10-13,2018-10-13,13.4044396817642
1968-01-01,2018-10-13,2018-10-13,13.5922821660938
1968-04-01,2018-10-13,2018-10-13,13.6824465585721
1968-07-01,2018-10-13,2018-10-13,13.8477479447822
1968-10-01,2018-10-13,2018-10-13,14.1182411222169
1969-01-01,2018-10-13,2018-10-13,14.366193201532
1969-04-01,2018-10-13,2018-10-13,14.5540356858617
