date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,24.5216445803602
1960-04-01,2018-10-13,2018-10-13,24.6615018688413
1960-07-01,2018-10-13,2018-10-13,24.6615018688413
1960-10-01,2018-10-13,2018-10-13,24.7314305130819
1961-01-01,2018-10-13,2018-10-13,24.9645259938838
1961-04-01,2018-10-13,2018-10-13,25.1510023785253
1961-07-01,2018-10-13,2018-10-13,25.3141692150866
1961-10-01,2018-10-13,2018-10-13,25.4074074074074
1962-01-01,2018-10-13,2018-10-13,25.8036697247706
1962-04-01,2018-10-13,2018-10-13,25.9435270132518
1962-07-01,2018-10-13,2018-10-13,25.9202174651716
1962-10-01,2018-10-13,2018-10-13,26.0367652055725
1963-01-01,2018-10-13,2018-10-13,26.6428134556575
1963-04-01,2018-10-13,2018-10-13,26.6894325518179
1963-07-01,2018-10-13,2018-10-13,26.5495752633367
1963-10-01,2018-10-13,2018-10-13,26.8992184845396
1964-01-01,2018-10-13,2018-10-13,27.2488617057424
1964-04-01,2018-10-13,2018-10-13,27.2488617057424
1964-07-01,2018-10-13,2018-10-13,27.2721712538226
1964-10-01,2018-10-13,2018-10-13,27.5052667346245
1965-01-01,2018-10-13,2018-10-13,27.808290859667
1965-04-01,2018-10-13,2018-10-13,28.0880054366293
1965-07-01,2018-10-13,2018-10-13,28.3211009174312
1965-10-01,2018-10-13,2018-10-13,28.6008154943935
1966-01-01,2018-10-13,2018-10-13,28.9504587155963
1966-04-01,2018-10-13,2018-10-13,29.2301732925586
1966-07-01,2018-10-13,2018-10-13,29.1835541963982
1966-10-01,2018-10-13,2018-10-13,29.4399592252803
1967-01-01,2018-10-13,2018-10-13,29.6730547060822
1967-04-01,2018-10-13,2018-10-13,29.766292898403
1967-07-01,2018-10-13,2018-10-13,29.6963642541624
1967-10-01,2018-10-13,2018-10-13,29.766292898403
1968-01-01,2018-10-13,2018-10-13,30.1159361196058
1968-04-01,2018-10-13,2018-10-13,30.139245667686
1968-07-01,2018-10-13,2018-10-13,30.0926265715256
1968-10-01,2018-10-13,2018-10-13,30.3024125042474
1969-01-01,2018-10-13,2018-10-13,30.6054366292898
1969-04-01,2018-10-13,2018-10-13,30.745293917771
