date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,4.13675408287671
1960-04-01,2018-10-13,2018-10-13,4.13076399587573
1960-07-01,2018-10-13,2018-10-13,4.15472434387965
1960-10-01,2018-10-13,2018-10-13,4.169100552682
1961-01-01,2018-10-13,2018-10-13,4.1990509876869
1961-04-01,2018-10-13,2018-10-13,4.21582323128964
1961-07-01,2018-10-13,2018-10-13,4.23738754449317
1961-10-01,2018-10-13,2018-10-13,4.27931815350003
1962-01-01,2018-10-13,2018-10-13,4.34161505831022
1962-04-01,2018-10-13,2018-10-13,4.407506015321
1962-07-01,2018-10-13,2018-10-13,4.45303067652844
1962-10-01,2018-10-13,2018-10-13,4.52371370314001
1963-01-01,2018-10-13,2018-10-13,4.67705993036509
1963-04-01,2018-10-13,2018-10-13,4.73935683517528
1963-07-01,2018-10-13,2018-10-13,4.7633171831792
1963-10-01,2018-10-13,2018-10-13,4.86754469699625
1964-01-01,2018-10-13,2018-10-13,4.94062375840821
1964-04-01,2018-10-13,2018-10-13,4.99932661101781
1964-07-01,2018-10-13,2018-10-13,5.08079179423114
1964-10-01,2018-10-13,2018-10-13,5.15267283824289
1965-01-01,2018-10-13,2018-10-13,5.21496974305309
1965-04-01,2018-10-13,2018-10-13,5.24492017805799
1965-07-01,2018-10-13,2018-10-13,5.29643492626641
1965-10-01,2018-10-13,2018-10-13,5.3287813960717
1966-01-01,2018-10-13,2018-10-13,5.36472191807758
1966-04-01,2018-10-13,2018-10-13,5.38149416168033
1966-07-01,2018-10-13,2018-10-13,5.39347433568229
1966-10-01,2018-10-13,2018-10-13,5.44019701428993
1967-01-01,2018-10-13,2018-10-13,5.54423274548817
1967-04-01,2018-10-13,2018-10-13,5.57840090058524
1967-07-01,2018-10-13,2018-10-13,5.6215606754447
1967-10-01,2018-10-13,2018-10-13,5.64134223892195
1968-01-01,2018-10-13,2018-10-13,5.65572883054177
1968-04-01,2018-10-13,2018-10-13,5.67191374611407
1968-07-01,2018-10-13,2018-10-13,5.6611238023992
1968-10-01,2018-10-13,2018-10-13,5.68270368982893
1969-01-01,2018-10-13,2018-10-13,5.72766178864087
1969-04-01,2018-10-13,2018-10-13,5.78520815512015
