date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-02-01,2018-10-13,2018-10-13,.
1955-03-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-05-01,2018-10-13,2018-10-13,.
1955-06-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-08-01,2018-10-13,2018-10-13,.
1955-09-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1955-11-01,2018-10-13,2018-10-13,.
1955-12-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-02-01,2018-10-13,2018-10-13,.
1956-03-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-05-01,2018-10-13,2018-10-13,.
1956-06-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-08-01,2018-10-13,2018-10-13,.
1956-09-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1956-11-01,2018-10-13,2018-10-13,.
1956-12-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-02-01,2018-10-13,2018-10-13,.
1957-03-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-05-01,2018-10-13,2018-10-13,.
1957-06-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-08-01,2018-10-13,2018-10-13,.
1957-09-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1957-11-01,2018-10-13,2018-10-13,.
1957-12-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-02-01,2018-10-13,2018-10-13,.
1958-03-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-05-01,2018-10-13,2018-10-13,.
1958-06-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-08-01,2018-10-13,2018-10-13,.
1958-09-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1958-11-01,2018-10-13,2018-10-13,.
1958-12-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-02-01,2018-10-13,2018-10-13,.
1959-03-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-05-01,2018-10-13,2018-10-13,.
1959-06-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-08-01,2018-10-13,2018-10-13,.
1959-09-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1959-11-01,2018-10-13,2018-10-13,.
1959-12-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,4.14394218727788
1960-02-01,2018-10-13,2018-10-13,4.13675408287671
1960-03-01,2018-10-13,2018-10-13,4.12956597847553
1960-04-01,2018-10-13,2018-10-13,4.12597192627494
1960-05-01,2018-10-13,2018-10-13,4.13316003067612
1960-06-01,2018-10-13,2018-10-13,4.13316003067612
1960-07-01,2018-10-13,2018-10-13,4.15113029167906
1960-08-01,2018-10-13,2018-10-13,4.15831839608024
1960-09-01,2018-10-13,2018-10-13,4.15472434387965
1960-10-01,2018-10-13,2018-10-13,4.15472434387965
1960-11-01,2018-10-13,2018-10-13,4.17269460488259
1960-12-01,2018-10-13,2018-10-13,4.17988270928376
1961-01-01,2018-10-13,2018-10-13,4.1978529702867
1961-02-01,2018-10-13,2018-10-13,4.1978529702867
1961-03-01,2018-10-13,2018-10-13,4.20144702248729
1961-04-01,2018-10-13,2018-10-13,4.20863512688847
1961-05-01,2018-10-13,2018-10-13,4.21941728349023
1961-06-01,2018-10-13,2018-10-13,4.21941728349023
1961-07-01,2018-10-13,2018-10-13,4.23019944009199
1961-08-01,2018-10-13,2018-10-13,4.23738754449317
1961-09-01,2018-10-13,2018-10-13,4.24457564889435
1961-10-01,2018-10-13,2018-10-13,4.25535780549611
1961-11-01,2018-10-13,2018-10-13,4.28411022310081
1961-12-01,2018-10-13,2018-10-13,4.29848643190316
1962-01-01,2018-10-13,2018-10-13,4.31645669290611
1962-02-01,2018-10-13,2018-10-13,4.34161505831022
1962-03-01,2018-10-13,2018-10-13,4.36677342371434
1962-04-01,2018-10-13,2018-10-13,4.40271394572022
1962-05-01,2018-10-13,2018-10-13,4.40271394572022
1962-06-01,2018-10-13,2018-10-13,4.41709015452257
1962-07-01,2018-10-13,2018-10-13,4.44584257212727
1962-08-01,2018-10-13,2018-10-13,4.44943662432786
1962-09-01,2018-10-13,2018-10-13,4.46381283313021
1962-10-01,2018-10-13,2018-10-13,4.48178309413315
1962-11-01,2018-10-13,2018-10-13,4.51053551173785
1962-12-01,2018-10-13,2018-10-13,4.57882250354902
1963-01-01,2018-10-13,2018-10-13,4.62913923435725
1963-02-01,2018-10-13,2018-10-13,4.69383217396784
1963-03-01,2018-10-13,2018-10-13,4.70820838277019
1963-04-01,2018-10-13,2018-10-13,4.73696080037489
1963-05-01,2018-10-13,2018-10-13,4.73696080037489
1963-06-01,2018-10-13,2018-10-13,4.74414890477607
1963-07-01,2018-10-13,2018-10-13,4.74055485257548
1963-08-01,2018-10-13,2018-10-13,4.75852511357842
1963-09-01,2018-10-13,2018-10-13,4.79087158338371
1963-10-01,2018-10-13,2018-10-13,4.84478236639253
1963-11-01,2018-10-13,2018-10-13,4.86275262739547
1963-12-01,2018-10-13,2018-10-13,4.89509909720076
1964-01-01,2018-10-13,2018-10-13,4.93103961920664
1964-02-01,2018-10-13,2018-10-13,4.93822772360782
1964-03-01,2018-10-13,2018-10-13,4.95260393241017
1964-04-01,2018-10-13,2018-10-13,4.95979203681134
1964-05-01,2018-10-13,2018-10-13,5.0029206632184
1964-06-01,2018-10-13,2018-10-13,5.03526713302369
1964-07-01,2018-10-13,2018-10-13,5.06401955062839
1964-08-01,2018-10-13,2018-10-13,5.07839575943075
1964-09-01,2018-10-13,2018-10-13,5.09996007263427
1964-10-01,2018-10-13,2018-10-13,5.1215243858378
1964-11-01,2018-10-13,2018-10-13,5.15746490784368
1964-12-01,2018-10-13,2018-10-13,5.17902922104721
1965-01-01,2018-10-13,2018-10-13,5.20418758645132
1965-02-01,2018-10-13,2018-10-13,5.21496974305309
1965-03-01,2018-10-13,2018-10-13,5.22575189965485
1965-04-01,2018-10-13,2018-10-13,5.23294000405603
1965-05-01,2018-10-13,2018-10-13,5.24372216065779
1965-06-01,2018-10-13,2018-10-13,5.25809836946014
1965-07-01,2018-10-13,2018-10-13,5.28685078706484
1965-08-01,2018-10-13,2018-10-13,5.29403889146602
1965-09-01,2018-10-13,2018-10-13,5.30841510026837
1965-10-01,2018-10-13,2018-10-13,5.30841510026837
1965-11-01,2018-10-13,2018-10-13,5.32638536127131
1965-12-01,2018-10-13,2018-10-13,5.35154372667543
1966-01-01,2018-10-13,2018-10-13,5.36591993547778
1966-02-01,2018-10-13,2018-10-13,5.36591993547778
1966-03-01,2018-10-13,2018-10-13,5.36232588327719
1966-04-01,2018-10-13,2018-10-13,5.37670209207954
1966-05-01,2018-10-13,2018-10-13,5.38389019648072
1966-06-01,2018-10-13,2018-10-13,5.38389019648072
1966-07-01,2018-10-13,2018-10-13,5.38748424868131
1966-08-01,2018-10-13,2018-10-13,5.39467235308248
1966-09-01,2018-10-13,2018-10-13,5.39826640528307
1966-10-01,2018-10-13,2018-10-13,5.40545450968425
1966-11-01,2018-10-13,2018-10-13,5.43780097948954
1966-12-01,2018-10-13,2018-10-13,5.477335553696
1967-01-01,2018-10-13,2018-10-13,5.52984615386834
1967-02-01,2018-10-13,2018-10-13,5.54603106944064
1967-03-01,2018-10-13,2018-10-13,5.55682101315551
1967-04-01,2018-10-13,2018-10-13,5.56221598501294
1967-05-01,2018-10-13,2018-10-13,5.57840090058524
1967-06-01,2018-10-13,2018-10-13,5.59458581615754
1967-07-01,2018-10-13,2018-10-13,5.6053757598724
1967-08-01,2018-10-13,2018-10-13,5.61616570358727
1967-09-01,2018-10-13,2018-10-13,5.64314056287443
1967-10-01,2018-10-13,2018-10-13,5.637745591017
1967-11-01,2018-10-13,2018-10-13,5.64314056287443
1967-12-01,2018-10-13,2018-10-13,5.64314056287443
1968-01-01,2018-10-13,2018-10-13,5.65393050658929
