date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,6.53239834517574
1960-04-01,2018-10-13,2018-10-13,6.57204871449396
1960-07-01,2018-10-13,2018-10-13,6.58196130682351
1960-10-01,2018-10-13,2018-10-13,6.65134945313038
1961-01-01,2018-10-13,2018-10-13,6.68703478551678
1961-04-01,2018-10-13,2018-10-13,6.77030056108502
1961-07-01,2018-10-13,2018-10-13,6.85554885511919
1961-10-01,2018-10-13,2018-10-13,6.9328670752897
1962-01-01,2018-10-13,2018-10-13,7.00235434751987
1962-04-01,2018-10-13,2018-10-13,7.15143973615636
1962-07-01,2018-10-13,2018-10-13,7.11882730739213
1962-10-01,2018-10-13,2018-10-13,7.11649784819468
1963-01-01,2018-10-13,2018-10-13,7.22132351207971
1963-04-01,2018-10-13,2018-10-13,7.26325377763372
1963-07-01,2018-10-13,2018-10-13,7.21200567528993
1963-10-01,2018-10-13,2018-10-13,7.26558323683116
1964-01-01,2018-10-13,2018-10-13,7.33080809435963
1964-04-01,2018-10-13,2018-10-13,7.46591672781144
1964-07-01,2018-10-13,2018-10-13,7.52415320774757
1964-10-01,2018-10-13,2018-10-13,7.59170752447348
1965-01-01,2018-10-13,2018-10-13,7.66159130039683
1965-04-01,2018-10-13,2018-10-13,7.85260695458732
1965-07-01,2018-10-13,2018-10-13,7.887548842549
1965-10-01,2018-10-13,2018-10-13,7.93879694489279
1966-01-01,2018-10-13,2018-10-13,7.99703342482892
1966-04-01,2018-10-13,2018-10-13,8.15077773186029
1966-07-01,2018-10-13,2018-10-13,8.17640178303219
1966-10-01,2018-10-13,2018-10-13,8.24162664056065
1967-01-01,2018-10-13,2018-10-13,8.28588636531211
1967-04-01,2018-10-13,2018-10-13,8.35809960043291
1967-07-01,2018-10-13,2018-10-13,8.31383987568145
1967-10-01,2018-10-13,2018-10-13,8.41633608036903
1968-01-01,2018-10-13,2018-10-13,8.53513849943873
1968-04-01,2018-10-13,2018-10-13,8.73780144961645
1968-07-01,2018-10-13,2018-10-13,8.78206117436791
1968-10-01,2018-10-13,2018-10-13,8.88688683825294
1969-01-01,2018-10-13,2018-10-13,9.0662551964562
1969-04-01,2018-10-13,2018-10-13,9.20835220750035
