date,realtime_start,realtime_end,value
1996-01-01,2018-10-13,2018-10-13,75.6003430531732
1996-02-01,2018-10-13,2018-10-13,75.9219554030875
1996-03-01,2018-10-13,2018-10-13,76.2435677530017
1996-04-01,2018-10-13,2018-10-13,76.393653516295
1996-05-01,2018-10-13,2018-10-13,76.5759005145798
1996-06-01,2018-10-13,2018-10-13,76.5973413379074
1996-07-01,2018-10-13,2018-10-13,76.565180102916
1996-08-01,2018-10-13,2018-10-13,76.5222984562607
1996-09-01,2018-10-13,2018-10-13,76.7045454545454
1996-10-01,2018-10-13,2018-10-13,76.7903087478559
1996-11-01,2018-10-13,2018-10-13,76.8117495711835
1996-12-01,2018-10-13,2018-10-13,77.0154373927959
1997-01-01,2018-10-13,2018-10-13,77.2512864493996
1997-02-01,2018-10-13,2018-10-13,77.4228130360206
1997-03-01,2018-10-13,2018-10-13,77.5300171526586
1997-04-01,2018-10-13,2018-10-13,77.4978559176672
1997-05-01,2018-10-13,2018-10-13,77.7229845626072
1997-06-01,2018-10-13,2018-10-13,77.7551457975986
1997-07-01,2018-10-13,2018-10-13,77.7980274442538
1997-08-01,2018-10-13,2018-10-13,77.9266723842196
1997-09-01,2018-10-13,2018-10-13,78.01243567753
1997-10-01,2018-10-13,2018-10-13,78.0553173241852
1997-11-01,2018-10-13,2018-10-13,78.1625214408233
1997-12-01,2018-10-13,2018-10-13,78.2482847341338
1998-01-01,2018-10-13,2018-10-13,78.1839622641509
1998-02-01,2018-10-13,2018-10-13,78.3876500857633
1998-03-01,2018-10-13,2018-10-13,78.4948542024014
1998-04-01,2018-10-13,2018-10-13,78.6878216123499
1998-05-01,2018-10-13,2018-10-13,78.848627787307
1998-06-01,2018-10-13,2018-10-13,78.8915094339622
1998-07-01,2018-10-13,2018-10-13,78.8807890222984
1998-08-01,2018-10-13,2018-10-13,78.9129502572899
1998-09-01,2018-10-13,2018-10-13,78.8915094339622
1998-10-01,2018-10-13,2018-10-13,78.8700686106346
1998-11-01,2018-10-13,2018-10-13,78.8700686106346
1998-12-01,2018-10-13,2018-10-13,78.9129502572899
1999-01-01,2018-10-13,2018-10-13,78.8593481989708
1999-02-01,2018-10-13,2018-10-13,79.0308747855918
1999-03-01,2018-10-13,2018-10-13,79.298885077187
1999-04-01,2018-10-13,2018-10-13,79.577615780446
1999-05-01,2018-10-13,2018-10-13,79.631217838765
1999-06-01,2018-10-13,2018-10-13,79.6204974271012
1999-07-01,2018-10-13,2018-10-13,79.7384219554031
1999-08-01,2018-10-13,2018-10-13,79.8349056603774
1999-09-01,2018-10-13,2018-10-13,79.9206689536878
1999-10-01,2018-10-13,2018-10-13,79.9528301886792
1999-11-01,2018-10-13,2018-10-13,80.0707547169811
1999-12-01,2018-10-13,2018-10-13,80.3494854202401
2000-01-01,2018-10-13,2018-10-13,80.3816466552316
2000-02-01,2018-10-13,2018-10-13,80.6389365351629
2000-03-01,2018-10-13,2018-10-13,80.9283876500858
2000-04-01,2018-10-13,2018-10-13,81.0141509433962
2000-05-01,2018-10-13,2018-10-13,81.1106346483705
2000-06-01,2018-10-13,2018-10-13,81.3893653516295
2000-07-01,2018-10-13,2018-10-13,81.4644082332761
2000-08-01,2018-10-13,2018-10-13,81.528730703259
2000-09-01,2018-10-13,2018-10-13,81.8825042881646
2000-10-01,2018-10-13,2018-10-13,81.9253859348199
2000-11-01,2018-10-13,2018-10-13,82.0969125214408
2000-12-01,2018-10-13,2018-10-13,82.4078044596912
2001-01-01,2018-10-13,2018-10-13,82.0647512864494
2001-02-01,2018-10-13,2018-10-13,82.311320754717
2001-03-01,2018-10-13,2018-10-13,82.7508576329331
2001-04-01,2018-10-13,2018-10-13,83.2547169811321
2001-05-01,2018-10-13,2018-10-13,83.651372212693
