date,realtime_start,realtime_end,value
1996-01-01,2018-10-13,2018-10-13,76.4794168096055
1997-01-01,2018-10-13,2018-10-13,77.78730703259
1998-01-01,2018-10-13,2018-10-13,78.741423670669
1999-01-01,2018-10-13,2018-10-13,79.6526586620926
2000-01-01,2018-10-13,2018-10-13,81.4000857632933
2001-01-01,2018-10-13,2018-10-13,83.3619210977702
2002-01-01,2018-10-13,2018-10-13,85.2594339622641
2003-01-01,2018-10-13,2018-10-13,87.0604631217839
2004-01-01,2018-10-13,2018-10-13,88.9579759862779
2005-01-01,2018-10-13,2018-10-13,90.9090909090909
2006-01-01,2018-10-13,2018-10-13,92.913807890223
2007-01-01,2018-10-13,2018-10-13,94.9292452830189
2008-01-01,2018-10-13,2018-10-13,98.102487135506
2009-01-01,2018-10-13,2018-10-13,98.4133790737564
2010-01-01,2018-10-13,2018-10-13,100.0
2011-01-01,2018-10-13,2018-10-13,102.722984562607
2012-01-01,2018-10-13,2018-10-13,105.295883361921
2013-01-01,2018-10-13,2018-10-13,106.710977701544
2014-01-01,2018-10-13,2018-10-13,107.171955403087
2015-01-01,2018-10-13,2018-10-13,107.204116638079
2016-01-01,2018-10-13,2018-10-13,107.46140651801
2017-01-01,2018-10-13,2018-10-13,109.112349914237
