date,realtime_start,realtime_end,value
1961-01-01,2018-10-13,2018-10-13,14.6082232964172
1961-02-01,2018-10-13,2018-10-13,14.6082232964172
1961-03-01,2018-10-13,2018-10-13,14.5528191625496
1961-04-01,2018-10-13,2018-10-13,14.5158830733046
1961-05-01,2018-10-13,2018-10-13,14.423542850192
1961-06-01,2018-10-13,2018-10-13,14.4789469840596
1961-07-01,2018-10-13,2018-10-13,14.4974150286821
1961-08-01,2018-10-13,2018-10-13,14.5343511179271
1961-09-01,2018-10-13,2018-10-13,14.6082232964172
1961-10-01,2018-10-13,2018-10-13,14.7190315641524
1961-11-01,2018-10-13,2018-10-13,14.7559676533974
1961-12-01,2018-10-13,2018-10-13,14.7559676533974
1962-01-01,2018-10-13,2018-10-13,14.6820954749073
1962-02-01,2018-10-13,2018-10-13,14.6820954749073
1962-03-01,2018-10-13,2018-10-13,14.6820954749073
1962-04-01,2018-10-13,2018-10-13,14.7190315641524
1962-05-01,2018-10-13,2018-10-13,14.6820954749073
1962-06-01,2018-10-13,2018-10-13,14.7190315641524
1962-07-01,2018-10-13,2018-10-13,14.7929037426425
1962-08-01,2018-10-13,2018-10-13,14.84830787651
1962-09-01,2018-10-13,2018-10-13,14.7559676533974
1962-10-01,2018-10-13,2018-10-13,14.811371787265
1962-11-01,2018-10-13,2018-10-13,14.8852439657551
1962-12-01,2018-10-13,2018-10-13,14.9221800550001
1963-01-01,2018-10-13,2018-10-13,14.9406480996227
1963-02-01,2018-10-13,2018-10-13,14.9406480996227
1963-03-01,2018-10-13,2018-10-13,14.8852439657551
1963-04-01,2018-10-13,2018-10-13,14.9037120103776
1963-05-01,2018-10-13,2018-10-13,14.9037120103776
1963-06-01,2018-10-13,2018-10-13,14.9775841888677
1963-07-01,2018-10-13,2018-10-13,15.0514563673578
1963-08-01,2018-10-13,2018-10-13,15.0883924566029
1963-09-01,2018-10-13,2018-10-13,15.0699244119803
1963-10-01,2018-10-13,2018-10-13,15.0514563673578
1963-11-01,2018-10-13,2018-10-13,15.1068605012254
1963-12-01,2018-10-13,2018-10-13,15.162264635093
1964-01-01,2018-10-13,2018-10-13,15.1068605012254
1964-02-01,2018-10-13,2018-10-13,15.199200724338
1964-03-01,2018-10-13,2018-10-13,15.162264635093
1964-04-01,2018-10-13,2018-10-13,15.199200724338
1964-05-01,2018-10-13,2018-10-13,15.162264635093
1964-06-01,2018-10-13,2018-10-13,15.2546048582056
1964-07-01,2018-10-13,2018-10-13,15.3100089920732
1964-08-01,2018-10-13,2018-10-13,15.2915409474506
1964-09-01,2018-10-13,2018-10-13,15.2546048582056
1964-10-01,2018-10-13,2018-10-13,15.2546048582056
