date,realtime_start,realtime_end,value
1958-01-01,2018-10-13,2018-10-13,.
1958-02-01,2018-10-13,2018-10-13,.
1958-03-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-05-01,2018-10-13,2018-10-13,.
1958-06-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-08-01,2018-10-13,2018-10-13,.
1958-09-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1958-11-01,2018-10-13,2018-10-13,.
1958-12-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-02-01,2018-10-13,2018-10-13,.
1959-03-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-05-01,2018-10-13,2018-10-13,.
1959-06-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-08-01,2018-10-13,2018-10-13,.
1959-09-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1959-11-01,2018-10-13,2018-10-13,.
1959-12-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,4.2986425336571
1960-02-01,2018-10-13,2018-10-13,3.36322869984727
1960-03-01,2018-10-13,2018-10-13,3.39366515865061
1960-04-01,2018-10-13,2018-10-13,4.2986425336571
1960-05-01,2018-10-13,2018-10-13,3.34075723619735
1960-06-01,2018-10-13,2018-10-13,2.40700218898845
1960-07-01,2018-10-13,2018-10-13,1.70940170832755
1960-08-01,2018-10-13,2018-10-13,0.847457626590623
1960-09-01,2018-10-13,2018-10-13,0.854700854163782
1960-10-01,2018-10-13,2018-10-13,-0.840336133934597
1960-11-01,2018-10-13,2018-10-13,-1.68067226786921
1960-12-01,2018-10-13,2018-10-13,0
1961-01-01,2018-10-13,2018-10-13,0.650759218688609
1961-02-01,2018-10-13,2018-10-13,0.650759218688609
1961-03-01,2018-10-13,2018-10-13,2.40700218898845
1961-04-01,2018-10-13,2018-10-13,1.51843817921844
1961-05-01,2018-10-13,2018-10-13,0.862068967253975
1961-06-01,2018-10-13,2018-10-13,0.854700854163782
1961-07-01,2018-10-13,2018-10-13,0.840336133934584
1961-08-01,2018-10-13,2018-10-13,1.47058823659208
1961-09-01,2018-10-13,2018-10-13,2.33050847534945
1961-10-01,2018-10-13,2018-10-13,2.33050847534945
1961-11-01,2018-10-13,2018-10-13,3.20512820535841
1961-12-01,2018-10-13,2018-10-13,3.20512820535841
1962-01-01,2018-10-13,2018-10-13,3.44827586222508
1962-02-01,2018-10-13,2018-10-13,3.44827586222508
1962-03-01,2018-10-13,2018-10-13,2.56410256249131
1962-04-01,2018-10-13,2018-10-13,3.20512820535841
1962-05-01,2018-10-13,2018-10-13,4.05982905952217
1962-06-01,2018-10-13,2018-10-13,4.02542372853068
1962-07-01,2018-10-13,2018-10-13,3.7499999998906
1962-08-01,2018-10-13,2018-10-13,3.93374741170213
1962-09-01,2018-10-13,2018-10-13,3.93374741170213
