date,realtime_start,realtime_end,value
1985-01-01,2018-10-13,2018-10-13,88.8631888723888
1985-02-01,2018-10-13,2018-10-13,88.7738791348286
1985-03-01,2018-10-13,2018-10-13,88.7738791348286
1985-04-01,2018-10-13,2018-10-13,89.0418083475092
1985-05-01,2018-10-13,2018-10-13,88.952498609949
1985-06-01,2018-10-13,2018-10-13,89.4883570353102
1985-07-01,2018-10-13,2018-10-13,89.6669765104306
1985-08-01,2018-10-13,2018-10-13,89.6669765104306
1985-09-01,2018-10-13,2018-10-13,89.39904729775
1985-10-01,2018-10-13,2018-10-13,89.6669765104306
1985-11-01,2018-10-13,2018-10-13,89.7562862479907
1985-12-01,2018-10-13,2018-10-13,89.9349057231111
1986-01-01,2018-10-13,2018-10-13,90.1135251982315
1986-02-01,2018-10-13,2018-10-13,90.2082817967575
1986-03-01,2018-10-13,2018-10-13,89.8292554026535
1986-04-01,2018-10-13,2018-10-13,89.4502290085494
1986-05-01,2018-10-13,2018-10-13,89.4502290085494
1986-06-01,2018-10-13,2018-10-13,89.3554724100234
1986-07-01,2018-10-13,2018-10-13,89.4502290085494
1986-08-01,2018-10-13,2018-10-13,89.2607158114974
1986-09-01,2018-10-13,2018-10-13,89.0712026144454
1986-10-01,2018-10-13,2018-10-13,88.9764460159194
1986-11-01,2018-10-13,2018-10-13,89.0712026144454
1986-12-01,2018-10-13,2018-10-13,89.1659592129714
1987-01-01,2018-10-13,2018-10-13,89.0712026144454
1987-02-01,2018-10-13,2018-10-13,89.1659592129714
1987-03-01,2018-10-13,2018-10-13,89.2607158114974
1987-04-01,2018-10-13,2018-10-13,89.4502290085494
1987-05-01,2018-10-13,2018-10-13,89.4502290085494
1987-06-01,2018-10-13,2018-10-13,89.5449856070754
1987-07-01,2018-10-13,2018-10-13,89.5449856070754
1987-08-01,2018-10-13,2018-10-13,89.6397422056015
1987-09-01,2018-10-13,2018-10-13,89.7344988041275
1987-10-01,2018-10-13,2018-10-13,89.6397422056015
1987-11-01,2018-10-13,2018-10-13,89.6397422056015
1987-12-01,2018-10-13,2018-10-13,89.8292554026535
1988-01-01,2018-10-13,2018-10-13,89.9240120011795
1988-02-01,2018-10-13,2018-10-13,89.9240120011795
1988-03-01,2018-10-13,2018-10-13,89.9240120011795
1988-04-01,2018-10-13,2018-10-13,89.7344988041275
1988-05-01,2018-10-13,2018-10-13,89.6397422056015
1988-06-01,2018-10-13,2018-10-13,89.7344988041275
1988-07-01,2018-10-13,2018-10-13,89.9240120011795
1988-08-01,2018-10-13,2018-10-13,90.2082817967575
1988-09-01,2018-10-13,2018-10-13,90.3977949938095
1988-10-01,2018-10-13,2018-10-13,90.5873081908615
1988-11-01,2018-10-13,2018-10-13,90.7768213879136
1988-12-01,2018-10-13,2018-10-13,90.8715779864396
1989-01-01,2018-10-13,2018-10-13,90.8715779864396
1989-02-01,2018-10-13,2018-10-13,90.7768213879136
1989-03-01,2018-10-13,2018-10-13,90.9663345849656
1989-04-01,2018-10-13,2018-10-13,91.9139005702256
1989-05-01,2018-10-13,2018-10-13,92.1981703658036
1989-06-01,2018-10-13,2018-10-13,92.3876835628556
1989-07-01,2018-10-13,2018-10-13,92.5771967599076
1989-08-01,2018-10-13,2018-10-13,92.5771967599076
1989-09-01,2018-10-13,2018-10-13,92.6719533584337
1989-10-01,2018-10-13,2018-10-13,93.2404929495897
1989-11-01,2018-10-13,2018-10-13,92.6719533584337
1989-12-01,2018-10-13,2018-10-13,93.1457363510637
1990-01-01,2018-10-13,2018-10-13,93.7142759422198
1990-02-01,2018-10-13,2018-10-13,93.9985457377977
1990-03-01,2018-10-13,2018-10-13,93.9985457377977
1990-04-01,2018-10-13,2018-10-13,94.0933023363238
1990-05-01,2018-10-13,2018-10-13,94.3775721319018
1990-06-01,2018-10-13,2018-10-13,94.2828155333758
1990-07-01,2018-10-13,2018-10-13,94.4723287304278
1990-08-01,2018-10-13,2018-10-13,94.8513551245318
1990-09-01,2018-10-13,2018-10-13,95.0408683215838
1990-10-01,2018-10-13,2018-10-13,95.7989211097918
1990-11-01,2018-10-13,2018-10-13,96.0831909053699
1990-12-01,2018-10-13,2018-10-13,96.4622172994739
1991-01-01,2018-10-13,2018-10-13,97.2202700876819
1991-02-01,2018-10-13,2018-10-13,97.2202700876819
1991-03-01,2018-10-13,2018-10-13,97.409783284734
1991-04-01,2018-10-13,2018-10-13,97.3150266862079
1991-05-01,2018-10-13,2018-10-13,97.50453988326
1991-06-01,2018-10-13,2018-10-13,97.599296481786
1991-07-01,2018-10-13,2018-10-13,97.883566277364
1991-08-01,2018-10-13,2018-10-13,98.073079474416
1991-09-01,2018-10-13,2018-10-13,97.694053080312
1991-10-01,2018-10-13,2018-10-13,98.262592671468
1991-11-01,2018-10-13,2018-10-13,99.020645459676
1991-12-01,2018-10-13,2018-10-13,99.020645459676
1992-01-01,2018-10-13,2018-10-13,98.92588886115
1992-02-01,2018-10-13,2018-10-13,99.020645459676
1992-03-01,2018-10-13,2018-10-13,99.3049152552541
1992-04-01,2018-10-13,2018-10-13,99.5891850508321
1992-05-01,2018-10-13,2018-10-13,99.4944284523061
1992-06-01,2018-10-13,2018-10-13,99.8734548464101
1992-07-01,2018-10-13,2018-10-13,99.5891850508321
1992-08-01,2018-10-13,2018-10-13,99.7786982478841
1992-09-01,2018-10-13,2018-10-13,99.7786982478841
1992-10-01,2018-10-13,2018-10-13,99.4944284523061
1992-11-01,2018-10-13,2018-10-13,99.6839416493581
1992-12-01,2018-10-13,2018-10-13,100.062968043462
1993-01-01,2018-10-13,2018-10-13,100.062968043462
1993-02-01,2018-10-13,2018-10-13,100.441994437566
1993-03-01,2018-10-13,2018-10-13,100.441994437566
1993-04-01,2018-10-13,2018-10-13,100.441994437566
1993-05-01,2018-10-13,2018-10-13,100.441994437566
1993-06-01,2018-10-13,2018-10-13,100.726264233144
1993-07-01,2018-10-13,2018-10-13,101.484317021352
1993-08-01,2018-10-13,2018-10-13,101.673830218404
1993-09-01,2018-10-13,2018-10-13,101.2948038243
1993-10-01,2018-10-13,2018-10-13,101.010534028722
1993-11-01,2018-10-13,2018-10-13,100.631507634618
1993-12-01,2018-10-13,2018-10-13,101.010534028722
1994-01-01,2018-10-13,2018-10-13,101.389560422826
1994-02-01,2018-10-13,2018-10-13,101.484317021352
1994-03-01,2018-10-13,2018-10-13,101.673830218404
1994-04-01,2018-10-13,2018-10-13,101.2948038243
1994-05-01,2018-10-13,2018-10-13,101.389560422826
1994-06-01,2018-10-13,2018-10-13,101.2948038243
1994-07-01,2018-10-13,2018-10-13,101.200047225774
1994-08-01,2018-10-13,2018-10-13,101.389560422826
1994-09-01,2018-10-13,2018-10-13,101.484317021352
1994-10-01,2018-10-13,2018-10-13,101.76858681693
1994-11-01,2018-10-13,2018-10-13,101.863343415456
1994-12-01,2018-10-13,2018-10-13,101.863343415456
1995-01-01,2018-10-13,2018-10-13,101.863343415456
1995-02-01,2018-10-13,2018-10-13,101.660630294231
1995-03-01,2018-10-13,2018-10-13,101.356560612394
1995-04-01,2018-10-13,2018-10-13,101.153847491169
1995-05-01,2018-10-13,2018-10-13,101.356560612394
1995-06-01,2018-10-13,2018-10-13,101.457917173007
1995-07-01,2018-10-13,2018-10-13,101.356560612394
1995-08-01,2018-10-13,2018-10-13,101.153847491169
1995-09-01,2018-10-13,2018-10-13,101.457917173007
1995-10-01,2018-10-13,2018-10-13,101.255204051782
1995-11-01,2018-10-13,2018-10-13,101.255204051782
1995-12-01,2018-10-13,2018-10-13,101.356560612394
1996-01-01,2018-10-13,2018-10-13,101.356560612394
1996-02-01,2018-10-13,2018-10-13,101.356560612394
1996-03-01,2018-10-13,2018-10-13,101.253973000438
1996-04-01,2018-10-13,2018-10-13,101.356560612394
1996-05-01,2018-10-13,2018-10-13,101.253973000438
1996-06-01,2018-10-13,2018-10-13,101.253973000438
1996-07-01,2018-10-13,2018-10-13,101.561735836306
1996-08-01,2018-10-13,2018-10-13,101.45914822435
1996-09-01,2018-10-13,2018-10-13,101.45914822435
1996-10-01,2018-10-13,2018-10-13,101.253973000438
1996-11-01,2018-10-13,2018-10-13,101.561735836306
1996-12-01,2018-10-13,2018-10-13,101.766911060218
1997-01-01,2018-10-13,2018-10-13,101.869498672174
1997-02-01,2018-10-13,2018-10-13,101.972086284129
1997-03-01,2018-10-13,2018-10-13,101.664323448262
1997-04-01,2018-10-13,2018-10-13,103.305725239556
1997-05-01,2018-10-13,2018-10-13,103.2031376276
1997-06-01,2018-10-13,2018-10-13,103.510900463467
1997-07-01,2018-10-13,2018-10-13,103.613488075423
