date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,13.4812773200707
1960-04-01,2018-10-13,2018-10-13,13.5622964489927
1960-07-01,2018-10-13,2018-10-13,13.569939763042
1960-10-01,2018-10-13,2018-10-13,13.6570735432034
1961-01-01,2018-10-13,2018-10-13,13.6845894737808
1961-04-01,2018-10-13,2018-10-13,13.6800034853512
1961-07-01,2018-10-13,2018-10-13,13.733506683696
1961-10-01,2018-10-13,2018-10-13,13.753379300224
1962-01-01,2018-10-13,2018-10-13,13.8068824985688
1962-04-01,2018-10-13,2018-10-13,13.8588570341037
1962-07-01,2018-10-13,2018-10-13,13.8986022671598
1962-10-01,2018-10-13,2018-10-13,13.9322328489765
1963-01-01,2018-10-13,2018-10-13,13.9765640704622
1963-04-01,2018-10-13,2018-10-13,14.0025513382296
1963-07-01,2018-10-13,2018-10-13,14.0881564555813
1963-10-01,2018-10-13,2018-10-13,14.1263730258275
1964-01-01,2018-10-13,2018-10-13,14.1844622126018
1964-04-01,2018-10-13,2018-10-13,14.2073921547496
1964-07-01,2018-10-13,2018-10-13,14.2394940737564
1964-10-01,2018-10-13,2018-10-13,14.30522657458
1965-01-01,2018-10-13,2018-10-13,14.3495577960657
1965-04-01,2018-10-13,2018-10-13,14.4412775646567
1965-07-01,2018-10-13,2018-10-13,14.4840801233325
1965-10-01,2018-10-13,2018-10-13,14.560513263825
1966-01-01,2018-10-13,2018-10-13,14.6965642539017
1966-04-01,2018-10-13,2018-10-13,14.8295579183587
1966-07-01,2018-10-13,2018-10-13,14.9579655943861
1966-10-01,2018-10-13,2018-10-13,15.0802586191742
1967-01-01,2018-10-13,2018-10-13,15.1184751894204
1967-04-01,2018-10-13,2018-10-13,15.2101949580114
1967-07-01,2018-10-13,2018-10-13,15.3630612389965
1967-10-01,2018-10-13,2018-10-13,15.53121414808
1968-01-01,2018-10-13,2018-10-13,15.6840804290651
1968-04-01,2018-10-13,2018-10-13,15.8369467100501
1968-07-01,2018-10-13,2018-10-13,16.0509595034292
1968-10-01,2018-10-13,2018-10-13,16.2496856687097
1969-01-01,2018-10-13,2018-10-13,16.4484118339903
1969-04-01,2018-10-13,2018-10-13,16.7082845116648
