date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,13.9040240660352
1961-01-01,2018-10-13,2018-10-13,14.0598114505285
1962-01-01,2018-10-13,2018-10-13,14.2194935196343
1963-01-01,2018-10-13,2018-10-13,14.4064383810263
1964-01-01,2018-10-13,2018-10-13,14.5894885578061
1965-01-01,2018-10-13,2018-10-13,14.8192749499338
1966-01-01,2018-10-13,2018-10-13,15.26326899574
1967-01-01,2018-10-13,2018-10-13,15.6838949338722
1968-01-01,2018-10-13,2018-10-13,16.3420966333567
1969-01-01,2018-10-13,2018-10-13,17.2378740941937
1970-01-01,2018-10-13,2018-10-13,18.2388080395638
1971-01-01,2018-10-13,2018-10-13,19.0294290158677
1972-01-01,2018-10-13,2018-10-13,19.6564732384536
1973-01-01,2018-10-13,2018-10-13,20.8794042067267
1974-01-01,2018-10-13,2018-10-13,23.1772681280043
1975-01-01,2018-10-13,2018-10-13,25.2998712417267
1976-01-01,2018-10-13,2018-10-13,26.7447992329029
1977-01-01,2018-10-13,2018-10-13,28.4818285700042
1978-01-01,2018-10-13,2018-10-13,30.6472732144624
1979-01-01,2018-10-13,2018-10-13,34.1485946809513
1980-01-01,2018-10-13,2018-10-13,38.7560065773434
1981-01-01,2018-10-13,2018-10-13,42.7285848819248
1982-01-01,2018-10-13,2018-10-13,45.2873926722288
1983-01-01,2018-10-13,2018-10-13,46.662216340383
1984-01-01,2018-10-13,2018-10-13,48.2590370314402
1985-01-01,2018-10-13,2018-10-13,49.9688035762552
1986-01-01,2018-10-13,2018-10-13,50.7438458141098
1987-01-01,2018-10-13,2018-10-13,52.5704528972948
1988-01-01,2018-10-13,2018-10-13,54.6580038495063
1989-01-01,2018-10-13,2018-10-13,57.2908106474446
1990-01-01,2018-10-13,2018-10-13,60.309191222004
1991-01-01,2018-10-13,2018-10-13,62.7433691047133
1992-01-01,2018-10-13,2018-10-13,64.5699761878983
1993-01-01,2018-10-13,2018-10-13,66.392688586471
1994-01-01,2018-10-13,2018-10-13,68.0674029697749
1995-01-01,2018-10-13,2018-10-13,69.9913771682683
1996-01-01,2018-10-13,2018-10-13,72.0399812743564
1997-01-01,2018-10-13,2018-10-13,73.6368019654136
1998-01-01,2018-10-13,2018-10-13,74.618262487722
1999-01-01,2018-10-13,2018-10-13,76.2890821864136
2000-01-01,2018-10-13,2018-10-13,78.9335730381889
2001-01-01,2018-10-13,2018-10-13,81.0951229980347
2002-01-01,2018-10-13,2018-10-13,82.1973187433255
2003-01-01,2018-10-13,2018-10-13,84.0356098803475
2004-01-01,2018-10-13,2018-10-13,86.2205279478673
2005-01-01,2018-10-13,2018-10-13,89.2544872608761
2006-01-01,2018-10-13,2018-10-13,92.1365538740038
2007-01-01,2018-10-13,2018-10-13,94.7656996684066
2008-01-01,2018-10-13,2018-10-13,98.6379898442204
2009-01-01,2018-10-13,2018-10-13,97.9729724466642
2010-01-01,2018-10-13,2018-10-13,100.0
2011-01-01,2018-10-13,2018-10-13,103.555769157369
2012-01-01,2018-10-13,2018-10-13,105.730989460205
2013-01-01,2018-10-13,2018-10-13,107.177514272072
2014-01-01,2018-10-13,2018-10-13,108.788122146657
2015-01-01,2018-10-13,2018-10-13,108.339220798239
2016-01-01,2018-10-13,2018-10-13,109.398263438025
2017-01-01,2018-10-13,2018-10-13,111.723312257897
